category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Immune disease	hsa05310	Asthma	17/1346	32/9378	2.8039943247035e-07	7.57078467669945e-06	5.53987542694457e-06	3108/3115/3113/958/3586/3109/2207/5553/3123/3122/3119/7124/3127/3111/3112/3120/2206	17
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	54/1346	193/9378	5.15514359005509e-07	1.29246814293524e-05	9.45755666145446e-06	7410/6359/6358/1236/6368/5970/5332/6363/6362/2309/4792/3718/2790/10563/3055/5330/4790/4067/5058/10000/643/6346/6352/112/6351/9547/23236/94235/2793/6355/6372/6361/54331/6348/9560/388372/1234/6347/1235/729230/1524/3576/6357/2920/2770/6367/3702/6349/414062/2921/55970/10663/3627/2919	54
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	47/1346	160/9378	6.13444609115296e-07	1.43546038532979e-05	1.05038936578338e-05	941/3685/3383/3108/29126/5819/3115/3113/958/9672/6385/920/3109/1462/3689/5817/942/5792/3123/3122/120425/3119/999/64115/3680/6693/5175/3696/10666/4897/80380/3684/9379/3127/25945/3655/84628/3111/29851/3112/3120/3676/1366/90952/139065/5133/6402	47
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	20/1346	45/9378	1.04457625087506e-06	2.29153915035717e-05	1.67681977114155e-05	941/3108/3115/3113/3109/942/3123/3122/3119/7124/3458/3127/3002/5551/3111/3112/3120/356/3821/3552	20
Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	28/1346	78/9378	1.61811526024416e-06	3.34093209615117e-05	2.44470664705619e-05	5970/4792/2002/3108/3115/3113/3586/3109/3689/4790/5600/10454/3123/3122/3119/7124/7097/3593/3684/3458/3127/2212/3111/3112/1378/3120/3676/3552	28
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	48/1346	173/9378	2.8455704968308e-06	5.54886246882006e-05	4.06034620600418e-05	5970/4792/834/29110/3383/7706/3108/9021/3115/836/3113/55916/4261/2224/3109/1021/4790/3665/3123/3122/5371/10000/3119/6352/7124/3593/91543/64135/29108/5610/23586/3458/3127/51284/6347/4599/3111/4600/3112/3576/3606/3120/356/291/114548/56000/3627/3552	48
Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	34/1346	109/9378	5.11698701928835e-06	9.45296023036952e-05	6.91714588756984e-05	3091/5970/5533/9466/4792/3718/4775/3108/3115/3113/7048/10148/920/3109/4790/5600/3662/3123/3122/861/3559/3119/3556/3458/246778/3127/27040/3111/3112/51561/3120/30009/4773/3560	34
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	44/1346	157/9378	5.50799481398559e-06	9.66653089854471e-05	7.07342491901307e-05	3091/834/3685/4775/24145/1847/29933/5734/9261/55113/836/89790/3586/338382/815/1849/5600/8578/6566/1846/8877/5175/23166/7301/575/80824/1844/948/714/3988/6446/246/9023/712/5031/1524/5468/3690/3693/338440/1850/384/4773/7057	44
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	20/1346	50/9378	7.57479037330717e-06	0.000120828864501972	8.84157832912916e-05	3600/941/3601/3108/3115/3113/958/3586/3109/942/3123/3122/3119/3127/3111/29851/3112/3120/3676/23495	20
NA	NA	hsa04518	Integrin signaling	43/1346	154/9378	7.77879338280896e-06	0.000120828864501972	8.84157832912916e-05	3909/22801/3918/3678/3685/3383/29780/8440/83660/5156/7422/64098/3689/3914/5154/10000/999/3680/56034/1291/3912/3696/7450/10979/7414/3684/3082/7448/3655/3673/1277/3675/3690/5159/1293/3676/3693/894/3672/4233/2200/3911/7057	43
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	26/1346	75/9378	7.91756092178164e-06	0.000120828864501972	8.84157832912916e-05	4616/10912/84883/1647/836/1017/143686/11200/1021/5366/25946/83667/7157/3732/596/1029/64065/9133/575/9134/3486/894/5054/6241/983/7057	26
